"u","i"
"-8","-49,99"
"-7,984","-49,99"
"-7,968","-49,99"
"-7,952","-49,99"
"-7,936","-49,99"
"-7,92","-49,99"
"-7,904","-49,99"
"-7,888","-49,99"
"-7,872","-49,99"
"-7,856","-49,99"
"-7,84","-49,99"
"-7,824","-49,99"
"-7,808","-49,99"
"-7,792","-49,99"
"-7,776","-49,99"
"-7,76","-49,99"
"-7,744","-49,99"
"-7,728","-49,99"
"-7,712","-49,99"
"-7,696","-49,99"
"-7,68","-49,99"
"-7,664","-49,99"
"-7,648","-49,99"
"-7,632","-49,99"
"-7,616","-49,99"
"-7,6","-49,99"
"-7,584","-49,99"
"-7,568","-49,99"
"-7,552","-49,99"
"-7,536","-49,99"
"-7,52","-49,99"
"-7,504","-49,99"
"-7,488","-49,99"
"-7,472","-49,99"
"-7,456","-49,99"
"-7,44","-49,99"
"-7,424","-49,99"
"-7,408","-49,99"
"-7,392","-49,99"
"-7,375","-49,99"
"-7,359","-49,99"
"-7,343","-49,99"
"-7,327","-49,99"
"-7,311","-49,99"
"-7,295","-49,99"
"-7,279","-49,99"
"-7,263","-49,99"
"-7,247","-49,99"
"-7,231","-49,99"
"-7,215","-49,99"
"-7,199","-49,99"
"-7,183","-49,99"
"-7,167","-49,99"
"-7,151","-49,99"
"-7,135","-49,99"
"-7,119","-49,99"
"-7,103","-49,99"
"-7,087","-49,99"
"-7,071","-49,99"
"-7,055","-49,99"
"-7,039","-49,99"
"-7,023","-49,99"
"-7,007","-49,99"
"-6,991","-49,99"
"-6,975","-49,99"
"-6,959","-49,99"
"-6,943","-49,99"
"-6,927","-49,99"
"-6,911","-49,99"
"-6,895","-49,99"
"-6,879","-49,99"
"-6,863","-49,99"
"-6,847","-49,99"
"-6,831","-49,99"
"-6,815","-49,99"
"-6,799","-49,99"
"-6,783","-49,99"
"-6,767","-49,99"
"-6,751","-49,99"
"-6,735","-49,99"
"-6,719","-49,99"
"-6,703","-49,99"
"-6,687","-49,99"
"-6,671","-49,99"
"-6,655","-49,99"
"-6,639","-49,99"
"-6,623","-49,99"
"-6,607","-49,99"
"-6,591","-49,99"
"-6,575","-49,99"
"-6,559","-49,99"
"-6,543","-49,99"
"-6,527","-49,99"
"-6,511","-49,99"
"-6,495","-49,99"
"-6,479","-49,99"
"-6,463","-49,99"
"-6,447","-49,99"
"-6,431","-49,99"
"-6,415","-49,99"
"-6,398","-49,99"
"-6,382","-49,99"
"-6,366","-49,99"
"-6,35","-49,99"
"-6,334","-49,99"
"-6,318","-49,99"
"-6,302","-49,99"
"-6,286","-49,99"
"-6,27","-49,99"
"-6,254","-49,99"
"-6,238","-49,99"
"-6,222","-49,99"
"-6,206","-49,99"
"-6,19","-49,99"
"-6,174","-49,99"
"-6,158","-49,99"
"-6,142","-49,99"
"-6,126","-49,99"
"-6,11","-49,99"
"-6,094","-49,99"
"-6,078","-49,99"
"-6,062","-49,99"
"-6,046","-49,99"
"-6,03","-49,99"
"-6,014","-49,99"
"-5,998","-49,99"
"-5,982","-49,99"
"-5,966","-49,99"
"-5,95","-49,99"
"-5,934","-49,99"
"-5,918","-49,99"
"-5,902","-49,99"
"-5,886","-49,99"
"-5,87","-49,99"
"-5,854","-49,99"
"-5,838","-49,99"
"-5,822","-49,99"
"-5,806","-49,99"
"-5,79","-49,99"
"-5,774","-49,99"
"-5,758","-49,99"
"-5,742","-49,99"
"-5,726","-49,99"
"-5,71","-49,99"
"-5,694","-49,99"
"-5,678","-49,99"
"-5,662","-49,99"
"-5,646","-49,99"
"-5,63","-49,99"
"-5,614","-49,99"
"-5,598","-49,99"
"-5,582","-49,99"
"-5,566","-49,99"
"-5,55","-49,99"
"-5,534","-49,99"
"-5,518","-49,99"
"-5,502","-49,99"
"-5,486","-49,99"
"-5,47","-49,99"
"-5,454","-49,99"
"-5,438","-49,99"
"-5,422","-49,99"
"-5,405","-49,99"
"-5,389","-49,99"
"-5,373","-49,99"
"-5,357","-49,99"
"-5,341","-49,99"
"-5,325","-49,99"
"-5,309","-49,99"
"-5,293","-49,99"
"-5,277","-49,99"
"-5,261","-49,99"
"-5,245","-49,99"
"-5,229","-49,99"
"-5,213","-49,99"
"-5,197","-49,99"
"-5,181","-49,99"
"-5,165","-49,99"
"-5,149","-49,99"
"-5,133","-49,99"
"-5,117","-49,99"
"-5,101","-49,99"
"-5,085","-49,99"
"-5,069","-49,99"
"-5,053","-49,99"
"-5,037","-49,99"
"-5,021","-49,99"
"-5,005","-49,99"
"-4,989","-49,99"
"-4,973","-49,99"
"-4,957","-49,99"
"-4,941","-49,99"
"-4,925","-49,99"
"-4,909","-49,99"
"-4,893","-49,99"
"-4,877","-49,99"
"-4,861","-49,99"
"-4,845","-49,99"
"-4,829","-49,99"
"-4,813","-49,99"
"-4,797","-49,99"
"-4,781","-49,99"
"-4,765","-49,99"
"-4,749","-49,99"
"-4,733","-49,99"
"-4,717","-49,99"
"-4,701","-49,99"
"-4,685","-49,99"
"-4,669","-49,99"
"-4,653","-49,99"
"-4,637","-49,99"
"-4,621","-49,99"
"-4,605","-49,99"
"-4,589","-49,99"
"-4,573","-49,99"
"-4,557","-49,99"
"-4,541","-49,99"
"-4,525","-49,99"
"-4,509","-49,99"
"-4,493","-49,99"
"-4,477","-49,99"
"-4,461","-49,99"
"-4,445","-49,99"
"-4,428","-49,99"
"-4,412","-49,99"
"-4,396","-49,99"
"-4,38","-49,99"
"-4,364","-49,99"
"-4,348","-49,99"
"-4,332","-49,99"
"-4,316","-49,99"
"-4,3","-49,99"
"-4,284","-49,99"
"-4,268","-49,99"
"-4,252","-49,99"
"-4,236","-49,99"
"-4,22","-49,99"
"-4,204","-49,99"
"-4,188","-49,99"
"-4,172","-49,99"
"-4,156","-49,99"
"-4,14","-49,99"
"-4,124","-49,99"
"-4,108","-49,99"
"-4,092","-49,99"
"-4,076","-49,99"
"-4,06","-49,99"
"-4,044","-49,99"
"-4,028","-49,99"
"-4,012","-49,99"
"-3,996","-49,99"
"-3,98","-49,99"
"-3,964","-49,99"
"-3,948","-49,99"
"-3,932","-49,99"
"-3,916","-49,99"
"-3,9","-49,99"
"-3,884","-49,99"
"-3,868","-49,99"
"-3,852","-49,99"
"-3,836","-49,99"
"-3,82","-49,99"
"-3,804","-49,99"
"-3,788","-49,99"
"-3,772","-49,99"
"-3,756","-49,99"
"-3,74","-49,99"
"-3,724","-49,99"
"-3,708","-49,99"
"-3,692","-49,99"
"-3,676","-49,99"
"-3,66","-49,99"
"-3,644","-49,99"
"-3,628","-49,99"
"-3,612","-49,99"
"-3,596","-49,99"
"-3,58","-49,99"
"-3,564","-49,99"
"-3,548","-49,99"
"-3,532","-49,99"
"-3,516","-49,99"
"-3,5","-49,99"
"-3,484","-49,99"
"-3,468","-49,99"
"-3,452","-49,99"
"-3,435","-49,99"
"-3,419","-49,99"
"-3,403","-49,99"
"-3,387","-49,99"
"-3,371","-49,99"
"-3,355","-49,99"
"-3,339","-49,99"
"-3,323","-49,99"
"-3,307","-49,99"
"-3,291","-49,99"
"-3,275","-49,99"
"-3,259","-49,99"
"-3,243","-49,99"
"-3,227","-49,99"
"-3,211","-49,99"
"-3,195","-49,99"
"-3,179","-49,99"
"-3,163","-49,99"
"-3,147","-49,99"
"-3,131","-49,99"
"-3,115","-49,99"
"-3,099","-49,99"
"-3,083","-49,99"
"-3,067","-49,99"
"-3,051","-49,99"
"-3,035","-49,99"
"-3,019","-49,99"
"-3,003","-49,99"
"-2,987","-49,99"
"-2,971","-49,99"
