"N","R v1","R v2"
1,"3.79","4.78"
2,"1.52","4.02"
3,"5.75","6.51"
4,"0.78","5.17"
5,"0.88","5.58"
6,"0.11","0.75"
7,"0.17","0.46"
8,"0.44","1.01"
9,"1.15","1.50"
10,"0.89","1.62"
11,"1.19","2.24"
12,"1.13","2.75"
13,"0.97","1.30"
14,"0.69","3.54"
15,"0.64","2.00"
16,"0.60","2.10"
17,"1.79","3.06"
18,"1.99","2.54"
19,"2.15","2.57"
20,"1.31","2.47"
21,"1.58","2.56"
22,"1.14","1.62"
23,"0.95","2.70"
24,"1.08","1.74"
25,"0.75","1.70"
26,"1.02","1.89"
27,"0.98","1.00"
28,"0.70","1.60"
29,"0.68","3.48"
30,"1.34","3.10"
31,"1.29","3.25"
32,"1.18","2.41"
33,"0.83","2.35"
34,"0.82","2.40"
35,"0.76","3.00"
36,"0.48","1.93"
37,"0.55","1.62"
38,"0.54","1.38"
39,"0.51","2.29"
40,"0.41","1.25"
41,"0.42","1.22"
42,"0.34","1.09"
43,"0.56","0.85"
44,"0.29","0.99"
45,"0.36","1.07"
46,"0.28","0.49"
47,"0.21","0.50"
48,"0.24","0.45"
49,"0.15","0.52"
50,"0.27","0.61"
51,"0.17","0.40"
52,"0.16","0.68"
53,"0.18","0.58"
54,"0.21","0.79"
55,"0.23","0.69"
56,"0.27","0.88"
57,"0.25","0.94"
58,"0.41","1.20"
59,"0.34","1.14"
60,"0.36","0.72"
61,"0.28","0.91"
62,"0.29","0.73"
63,"0.29","0.87"
64,"0.22","0.58"
65,"0.29","0.92"
66,"0.25","0.87"
67,"0.22","0.49"
68,"0.25","0.56"
69,"0.22","0.42"
70,"0.22","0.60"
71,"0.27","0.55"
72,"0.24","0.62"
73,"0.25","1.16"
74,"0.22","0.77"
75,"0.25","0.70"
76,"0.19","0.57"
77,"0.23","0.78"
78,"0.20","0.60"
79,"0.24","0.63"
80,"0.29","0.68"
81,"0.29","0.69"
82,"0.30","0.74"
83,"0.22","0.78"
84,"0.20","0.79"
85,"0.21","0.72"
86,"0.25","1.25"
87,"0.31","0.85"
88,"0.21","0.85"
89,"0.28","0.81"
90,"0.29","0.76"
91,"0.22","0.71"
92,"0.19","0.58"
93,"0.20","0.63"
94,"0.19","0.42"
95,"0.16","0.43"
96,"0.17","0.60"
97,"0.21","0.65"
98,"0.20","0.59"
99,"0.27","0.96"
100,"0.23","0.81"
101,"0.20","0.78"
102,"0.18","0.80"
103,"0.21","0.85"
104,"0.22","0.93"
105,"0.21","0.70"
106,"0.17","0.56"
107,"0.17","0.44"
108,"0.15","0.56"
109,"0.16","0.48"
110,"0.17","0.69"
111,"0.17","0.54"
112,"0.17","0.52"
113,"0.18","0.45"
114,"0.16","0.44"
115,"0.17","0.59"
116,"0.26","0.73"
117,"0.19","0.75"
118,"0.17","0.50"
119,"0.16","0.41"
120,"0.19","0.53"
121,"0.19","0.55"
122,"0.18","0.52"
123,"0.18","0.63"
124,"0.18","0.53"
125,"0.22","0.64"
126,"0.15","0.46"
127,"0.44","0.96"
128,"0.42","1.01"
129,"0.38","1.18"
130,"0.35","0.99"
131,"0.37","1.38"
132,"0.36","1.29"
133,"0.38","1.34"
134,"0.24","1.16"
135,"0.22","0.88"
136,"0.31","1.19"
137,"0.27","1.08"
138,"0.25","1.13"
139,"0.23","0.78"
140,"0.24","0.89"
141,"0.28","0.81"
142,"0.23","0.79"
143,"0.18","0.71"
144,"0.22","0.73"
145,"0.27","0.87"
146,"0.31","0.63"
147,"0.26","0.69"
148,"0.23","0.72"
149,"0.21","0.75"
150,"0.18","0.66"
151,"0.17","0.61"
152,"0.19","0.65"
153,"0.21","0.74"
154,"0.17","0.69"
155,"0.21","0.57"
156,"0.18","0.56"
157,"0.17","0.51"
158,"0.15","0.45"
159,"0.18","0.38"
160,"0.15","0.45"
161,"0.15","0.42"
162,"0.16","0.44"
163,"0.15","0.40"
164,"0.15","0.46"
165,"0.19","0.54"
166,"0.17","0.76"
167,"0.17","0.56"
168,"0.18","0.68"
169,"0.19","0.71"
170,"0.16","0.65"
171,"0.17","0.56"
172,"0.18","0.48"
173,"0.15","0.50"
174,"0.16","0.42"
175,"0.15","0.46"
176,"0.14","0.39"
177,"0.14","0.42"
178,"0.15","0.38"
179,"0.14","0.28"
180,"0.14","0.32"
181,"0.15","0.34"
182,"0.17","0.38"
183,"0.15","0.48"
184,"0.15","0.44"
185,"0.15","0.39"
186,"0.17","0.40"
187,"0.15","0.47"
188,"0.38","0.90"
189,"0.45","0.93"
190,"0.42","1.44"
191,"0.63","1.83"
192,"0.45","1.70"
193,"0.44","1.59"
194,"0.29","1.09"
195,"0.26","1.07"
196,"0.22","0.83"
197,"0.23","0.76"
198,"0.29","0.65"
199,"0.20","0.69"
200,"0.19","0.70"
201,"0.18","0.48"
202,"0.20","0.58"
203,"0.17","0.46"
204,"0.14","0.50"
205,"0.14","0.38"
206,"0.15","0.36"
207,"0.15","0.39"
208,"0.14","0.33"
209,"0.14","0.33"
210,"0.16","0.42"
211,"0.15","0.43"
212,"0.14","0.41"
213,"0.14","0.39"
214,"0.14","0.42"
215,"0.13","0.34"
216,"0.14","0.35"
217,"0.18","0.41"
218,"0.16","0.53"
219,"0.17","0.38"
220,"0.17","0.45"
221,"0.16","0.35"
222,"0.19","0.76"
223,"0.19","0.63"
224,"0.16","0.46"
225,"0.14","0.36"
226,"0.16","0.40"
227,"0.17","0.51"
228,"0.19","0.59"
229,"0.16","0.37"
230,"0.16","0.45"
231,"0.22","0.57"
232,"0.18","0.63"
233,"0.18","0.67"
234,"0.15","0.57"
235,"0.16","0.64"
236,"0.17","0.74"
237,"0.16","0.69"
238,"0.17","0.64"
239,"0.15","0.61"
240,"0.14","0.55"
241,"0.14","0.52"
242,"0.13","0.48"
243,"0.13","0.38"
244,"0.13","0.36"
245,"0.13","0.32"
246,"2.10","2.42"
247,"0.47","1.88"
248,"1.78","2.68"
249,"1.57","1.82"
250,"0.85","2.00"
251,"0.79","1.73"
252,"0.80","1.48"
253,"0.70","1.22"
254,"0.47","1.12"
255,"0.34","0.79"
256,"0.26","0.79"
257,"0.32","0.59"
258,"0.24","0.28"
259,"0.22","0.51"
260,"0.29","0.80"
261,"0.52","1.00"
262,"0.43","0.96"
263,"0.35","0.91"
264,"0.33","1.04"
265,"0.31","1.08"
266,"0.37","0.80"
267,"0.32","1.05"
268,"0.22","0.44"
269,"0.23","0.51"
270,"0.17","0.34"
271,"0.15","0.40"
272,"0.16","0.42"
273,"0.19","0.41"
274,"0.15","0.34"
275,"0.15","0.31"
276,"0.18","0.47"
277,"0.14","0.59"
278,"0.15","0.77"
279,"0.16","0.47"
280,"0.15","0.35"
281,"0.14","0.34"
282,"0.14","0.27"
283,"0.15","0.42"
284,"0.14","0.37"
285,"0.14","0.29"
286,"0.13","0.30"
287,"0.14","0.26"
288,"0.14","0.27"
289,"0.14","0.24"
290,"0.15","0.37"
291,"0.15","0.27"
292,"0.14","0.46"
293,"0.13","0.24"
294,"0.14","0.27"
295,"0.13","0.26"
296,"0.14","0.42"
297,"0.13","0.27"
298,"0.14","0.24"
299,"0.13","0.29"
300,"0.13","0.34"
301,"0.14","0.28"
302,"0.15","0.54"
303,"0.14","0.49"
304,"0.13","0.44"
305,"0.14","0.33"
306,"0.14","0.29"
307,"0.13","0.32"
308,"0.14","0.28"
309,"0.13","0.32"
310,"0.13","0.45"
311,"0.13","0.56"
312,"0.14","0.66"
313,"0.13","0.43"
314,"0.13","0.53"
315,"0.14","0.65"
316,"0.14","0.45"
317,"0.13","0.53"
318,"0.13","0.35"
319,"0.13","0.40"
320,"0.13","0.38"
321,"0.13","0.37"
322,"0.14","0.53"
323,"0.14","0.43"
324,"0.14","0.49"
325,"0.14","0.39"
326,"0.13","0.35"
327,"0.13","0.47"
328,"0.13","0.28"
329,"0.14","0.43"
330,"0.13","0.56"
331,"0.13","0.39"
332,"0.13","0.51"
333,"0.13","0.55"
334,"0.13","0.22"
335,"0.14","0.37"
336,"0.13","0.29"
337,"0.13","0.44"
338,"0.13","0.53"
339,"0.13","0.50"
340,"0.13","0.61"
341,"0.14","0.50"
342,"0.15","0.60"
343,"0.15","0.64"
344,"0.15","0.68"
345,"0.16","0.63"
346,"0.15","0.69"
347,"0.17","0.55"
348,"0.15","0.74"
349,"0.15","0.55"
350,"0.15","0.52"
351,"0.15","0.80"
352,"0.14","0.67"
353,"0.14","0.73"
354,"0.14","0.64"
355,"0.16","0.67"
356,"0.14","0.58"
357,"0.13","0.50"
358,"0.13","0.41"
359,"0.13","0.42"
360,"0.13","0.49"
361,"0.13","0.55"
362,"0.13","0.48"
363,"0.14","0.50"
364,"0.13","0.46"
365,"0.13","0.32"
366,"0.13","0.41"
367,"0.14","0.27"
368,"0.14","0.34"
369,"0.13","0.29"
370,"0.14","0.31"
371,"0.13","0.31"
372,"0.13","0.47"
373,"0.13","0.38"
374,"0.13","0.37"
375,"0.13","0.39"
376,"0.13","0.48"
377,"0.13","0.37"
378,"0.13","0.35"
379,"0.12","0.32"
380,"0.13","0.35"
381,"0.13","0.43"
382,"0.12","0.31"
383,"0.13","0.33"
384,"0.13","0.32"
385,"0.13","0.33"
386,"0.13","0.41"
387,"0.13","0.26"
388,"0.13","0.53"
389,"0.13","0.31"
390,"0.13","0.28"
391,"0.13","0.43"
392,"0.13","0.54"
393,"0.14","0.52"
394,"0.14","0.71"
395,"0.13","0.61"
396,"0.13","0.72"
397,"0.14","0.74"
398,"0.14","0.78"
399,"0.14","0.71"
400,"0.14","0.99"
401,"0.14","0.41"
402,"0.13","0.48"
403,"0.14","0.66"
404,"0.14","0.54"
405,"0.13","0.55"
406,"0.13","0.35"
407,"0.13","0.29"
408,"0.14","0.51"
409,"0.13","0.47"
410,"0.14","0.58"
411,"0.13","0.55"
412,"0.13","0.59"
413,"0.14","0.54"
414,"0.14","0.49"
415,"0.14","0.55"
416,"0.14","0.51"
417,"0.13","0.64"
418,"0.14","0.54"
419,"0.13","0.62"
420,"0.14","0.45"
421,"0.14","0.48"
422,"0.14","0.57"
423,"0.13","0.47"
424,"0.13","0.46"
425,"0.14","0.41"
426,"0.13","0.42"
427,"0.13","0.37"
428,"0.13","0.47"
429,"0.13","0.36"
430,"0.13","0.52"
431,"0.13","0.50"
432,"0.13","0.40"
433,"0.14","0.51"
434,"0.14","0.71"
435,"0.14","0.76"
436,"0.14","0.41"
437,"0.13","0.48"
438,"0.13","0.56"
439,"0.13","0.57"
440,"0.15","0.66"
441,"0.14","0.55"
442,"0.13","0.54"
443,"0.13","0.88"
444,"0.14","0.52"
445,"0.14","0.53"
446,"0.14","0.66"
447,"0.14","0.48"
448,"0.14","0.62"
449,"0.14","0.57"
450,"0.14","0.56"
451,"0.15","0.50"
452,"0.14","0.62"
453,"0.15","0.77"
454,"0.15","0.82"
455,"0.16","0.95"
456,"0.16","1.07"
457,"0.16","0.86"
458,"0.15","1.12"
459,"0.15","1.01"
460,"0.15","0.84"
461,"0.15","0.92"
462,"0.14","0.95"
463,"0.14","0.85"
464,"0.15","0.84"
465,"0.14","0.71"
466,"0.14","0.68"
467,"0.14","0.74"
468,"0.14","0.78"
469,"0.14","0.87"
470,"0.14","0.74"
471,"0.13","0.94"
472,"0.15","1.04"
473,"0.21","1.06"
474,"0.23","1.17"
475,"0.20","1.01"
476,"0.20","1.26"
477,"0.21","0.99"
478,"0.20","0.92"
479,"0.20","1.03"
480,"0.21","1.30"
481,"0.18","0.93"
482,"0.18","0.63"
483,"0.16","0.71"
484,"0.15","0.68"
485,"0.15","0.72"
486,"0.15","0.72"
487,"0.14","0.80"
488,"0.15","0.73"
489,"0.14","0.56"
490,"0.14","0.72"
491,"0.14","0.43"
492,"0.14","0.45"
493,"0.13","0.39"
494,"0.15","0.44"
495,"0.14","0.44"
496,"0.15","0.62"
497,"0.17","0.66"
498,"0.15","0.58"
499,"0.14","0.46"
500,"0.14","0.59"
